PGA, Mean - Yearly probability of exceedance, '0.05 quantile', '0.95 quantile'
4.999999999999999020e-04,7.403269410133361816e-01,7.358658243704512270e-01,7.461078763008117676e-01
7.184440842513041157e-04,7.287780046463012695e-01,7.232639681188171021e-01,7.357622385025024414e-01
1.032323804391390223e-03,7.123451232910156250e-01,7.048216321464352285e-01,7.207576632499694824e-01
1.483333860593589754e-03,6.893627643585205078e-01,6.793016404510380246e-01,6.995461583137512207e-01
2.131384874226226623e-03,6.582564711570739746e-01,6.454821472573748498e-01,6.706356406211853027e-01
3.062561708301085421e-03,6.178907752037048340e-01,6.025037061875015976e-01,6.323214769363403320e-01
4.400558683966966991e-03,5.679264068603515625e-01,5.503725687249273468e-01,5.833296179771423340e-01
6.323110707793544102e-03,5.091905593872070312e-01,4.902895002472274499e-01,5.248217582702636719e-01
9.085602964160699110e-03,4.439912140369415283e-01,4.248898517544332232e-01,4.591269791126251221e-01
1.305499540291473783e-02,3.760773539543151855e-01,3.580655786446387268e-01,3.912010788917541504e-01
1.875856843430413062e-02,3.099629878997802734e-01,2.942185470341669995e-01,3.243509531021118164e-01
2.695396504129810716e-02,2.497231513261795044e-01,2.370016496822908159e-01,2.621422111988067627e-01
3.872983346207417577e-02,1.978039890527725220e-01,1.882046321093195085e-01,2.075040489435195923e-01
5.565043946973079886e-02,1.544483900070190430e-01,1.470912747080754257e-01,1.613619476556777954e-01
7.996345804602676688e-02,1.181744411587715149e-01,1.122477449401526467e-01,1.227141395211219788e-01
1.148985467788905673e-01,8.727023750543594360e-02,8.259271670903359230e-02,8.991862833499908447e-02
1.650963624447313594e-01,6.107928976416587830e-02,5.763907030088537276e-02,6.350065022706985474e-02
2.372250098596528911e-01,3.971315547823905945e-02,3.749122601977220720e-02,4.288339242339134216e-02
3.408658099402498975e-01,2.321957238018512726e-02,2.196828343649431803e-02,2.669635973870754242e-02
4.897860493502039225e-01,1.160058751702308655e-02,9.803618981713911607e-03,1.478963252156972885e-02
7.037677794089427508e-01,4.682953469455242157e-03,3.199111500893173868e-03,6.919481325894594193e-03
1.011235595606063464e+00,1.462562708184123039e-03,6.938013830071573145e-04,2.594593446701765060e-03
1.453032462895041066e+00,3.309994353912770748e-04,7.375602514622234729e-05,7.352380780503153801e-04
2.087845154384090129e+00,4.569221709971316159e-05,5.099657138249404418e-07,1.358363078907132149e-04
3.000000000000000000e+00,1.808282831916585565e-06,0.000000000000000000e+00,7.062901204335503280e-06
