m,N_obs,N_gr,log10_Nobs,log10_Ngr
5.2,1141,1141.0000000000034,3.0572856444182146,3.057285644418216
5.3,845,856.635873939411,2.926856708949692,2.9327962576950375
5.3999999999999995,610,643.1419987028374,2.785329835010767,2.80830687097186
5.499999999999999,438,482.85583534263293,2.6414741105040997,2.6838174842486824
5.599999999999999,331,362.5167664289923,2.519827993775719,2.559328097525505
5.699999999999998,245,272.1690333282988,2.3891660843645326,2.4348387108023273
5.799999999999998,194,204.33808740090416,2.287801729930226,2.3103493240791497
5.899999999999998,148,153.41221391742397,2.1702617153949575,2.1858599373559713
5.999999999999997,121,115.17826988793357,2.0827853703164503,2.0613705506327937
6.099999999999997,109,86.47312698008696,2.037426497940624,1.9368811639096162
6.199999999999997,89,64.92198308752005,1.9493900066449128,1.8123917771864386
6.299999999999996,69,48.74189283090038,1.8388490907372552,1.687902390463261
6.399999999999996,55,36.59426289453061,1.7403626894942439,1.5634130037400835
6.499999999999996,40,27.47410900598138,1.6020599913279625,1.438923617016906
6.599999999999995,32,20.62691268978565,1.505149978319906,1.3144342302937275
6.699999999999995,24,15.486199280180896,1.3802112417116061,1.189944843570549
6.7999999999999945,18,11.62667296615044,1.255272505103306,1.0654554568473724
6.899999999999994,11,8.729031689190164,1.0413926851582251,0.940966070124194
6.999999999999994,9,6.553550998873126,0.9542425094393249,0.8164766834010173
7.099999999999993,7,4.920251434992254,0.8450980400142568,0.6919872966778389
7.199999999999993,4,3.6940086660966127,0.6020599913279624,0.5674979099546622
7.299999999999993,2,2.7733745328846804,0.3010299956639812,0.44300852323148376
7.399999999999992,2,2.082184151392609,0.3010299956639812,0.3185191365083054
7.499999999999992,2,1.5632547241288344,0.3010299956639812,0.19402974978512866
7.599999999999992,2,1.173654756173543,0.3010299956639812,0.06954036306195022
7.699999999999991,2,0.8811522942663195,0.3010299956639812,-0.05494902366122642
7.799999999999991,1,0.6615483485298363,0.0,-0.1794384103844049
